2017-08-06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,42,13,0,0
0,3,5,35,0
26,11,29,18,19
41,36,6,30,22
37,33,10,12,2
40,20,7,45,28
16,44,43,25,21
39,8,34,23,31
17,27,1,9,32
15,14,38,4,24
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,0,19,0,42
5,0,35,0,41
11,0,26,30,29
6,13,18,28,37
2,36,20,44,33
10,22,21,40,45
7,12,25,31,43
16,8,23,34,39
1,9,17,27,32
4,14,15,24,38
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,13,0,0
0,0,5,0,0
0,0,29,35,19
26,42,6,18,22
41,3,10,30,2
37,11,7,45,28
40,36,43,25,21
16,33,34,23,31
39,27,1,9,32
15,14,38,4,24
20,12,8,44,17
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,0,0,0,42
5,0,0,0,41
11,0,19,0,29
6,0,35,30,37
2,0,26,28,33
10,13,18,40,45
7,36,21,31,43
16,22,25,34,39
1,9,23,27,32
4,14,15,24,38
8,12,17,20,44
